DATE,VALUE
2006-01-01,194.500
2006-02-01,194.400
2006-03-01,194.500
2006-04-01,194.200
2006-05-01,194.700
2006-06-01,195.100
2006-07-01,195.600
2006-08-01,196.000
2006-09-01,196.700
2006-10-01,197.500
2006-11-01,197.200
2006-12-01,197.400
2007-01-01,199.198
2007-02-01,200.402
2007-03-01,200.869
2007-04-01,201.292
2007-05-01,202.225
2007-06-01,202.885
2007-07-01,203.533
2007-08-01,204.289
2007-09-01,205.279
2007-10-01,206.124
2007-11-01,206.563
2007-12-01,206.936
2008-01-01,208.837
2008-02-01,209.462
2008-03-01,209.692
2008-04-01,211.365
2008-05-01,212.251
2008-06-01,213.383
2008-07-01,215.326
2008-08-01,216.419
2008-09-01,217.672
2008-10-01,218.705
2008-11-01,218.752
2008-12-01,218.839
2009-01-01,219.729
2009-02-01,219.333
2009-03-01,218.794
2009-04-01,218.364
2009-05-01,218.076
2009-06-01,218.030
2009-07-01,217.608
2009-08-01,217.701
2009-09-01,217.617
2009-10-01,217.957
2009-11-01,217.733
2009-12-01,218.049
2010-01-01,219.223
2010-02-01,219.140
2010-03-01,219.378
2010-04-01,219.536
2010-05-01,219.693
2010-06-01,219.562
2010-07-01,219.539
2010-08-01,219.877
2010-09-01,220.586
2010-10-01,221.005
2010-11-01,220.991
2010-12-01,221.278
2011-01-01,223.160
2011-02-01,224.039
2011-03-01,225.479
2011-04-01,226.248
2011-05-01,227.082
2011-06-01,227.451
2011-07-01,228.323
2011-08-01,229.490
2011-09-01,230.448
2011-10-01,230.885
2011-11-01,230.656
2011-12-01,231.130
2012-01-01,232.559
2012-02-01,232.453
2012-03-01,232.708
2012-04-01,233.116
2012-05-01,233.257
2012-06-01,233.509
2012-07-01,233.557
2012-08-01,234.017
2012-09-01,234.172
2012-10-01,234.718
2012-11-01,234.742
2012-12-01,235.230
2013-01-01,236.183
2013-02-01,236.230
2013-03-01,236.267
2013-04-01,236.761
2013-05-01,236.474
2013-06-01,236.726
2013-07-01,236.957
2013-08-01,237.348
2013-09-01,237.444
2013-10-01,237.794
2013-11-01,237.585
2013-12-01,237.820
2014-01-01,238.792
2014-02-01,239.476
2014-03-01,240.226
2014-04-01,241.103
2014-05-01,242.065
2014-06-01,242.027
2014-07-01,242.674
2014-08-01,243.497
2014-09-01,244.260
2014-10-01,244.775
2014-11-01,244.902
2014-12-01,245.585
2015-01-01,246.100
2015-02-01,246.269
2015-03-01,245.689
2015-04-01,245.746
2015-05-01,245.846
2015-06-01,246.245
2015-07-01,246.558
2015-08-01,247.196
2015-09-01,248.090
2015-10-01,248.575
2015-11-01,247.870
2015-12-01,247.468
2016-01-01,248.241
